path,line,enclosing_function_guess,lexical_guards,gm_feature_guarded,packet_tokens,packet_definition_paths,text
archive/XProcess/XProc_MainGameMessageHandler.cpp,14054,switch,#ifdef _XGMCLIENT,yes,MSG_NO_CTRL_MONSTER_SPAWN,MeshControl/XRenderStateControl.cpp;Network/XNetwork.cpp;Network/packet_for_ctrl_gms.h;XProcess/XProc_MainGame.cpp;XProcess/XProc_MainGameMessageHandler.cpp,"g_NetworkKernel.SendPacket( MSG_NO_CTRL_MONSTER_SPAWN, pWindow->m_SelectedMonsterType, count );"
archive/Network/XNetwork.cpp,148,switch,#if !defined(_XDWDEBUG) && !defined(_XADMINISTRATORMODE) && !defined(_DEBUG) && !defined(_XGMCLIENT) && #ifdef _XENABLE_GAMEGUARD,yes,MSG_GGAUTH,EmperorOfDragons.cpp;Network/XNetwork.cpp;Network/packet_for_ctrl_gms.h,extern struct MSG_GGAUTH g_GameGuardData;
archive/Network/XNetwork.cpp,2463,catch,#ifdef _PD_LOGIN_PACKET_MODE_ && #ifdef _XADMINISTRATORMODE,yes,MSG_NO_GMLOGIN,Network/XNetwork.cpp;Network/packet_for_login.h,Login.ucMessage = MSG_NO_GMLOGIN;
archive/Network/XNetwork.cpp,2467,catch,#ifdef _PD_LOGIN_PACKET_MODE_ && #ifdef _XADMINISTRATORMODE,yes,MSG_NO_LOGIN,Network/XNetwork.cpp;Network/packet_for_login.h;XProcess/XProc_LoginServer.cpp,Login.ucMessage = MSG_NO_LOGIN;
archive/Network/XNetwork.cpp,2651,catch,#else	// ETC Login && #ifdef _XADMINISTRATORMODE,yes,MSG_NO_GMLOGIN,Network/XNetwork.cpp;Network/packet_for_login.h,Login.ucMessage = MSG_NO_GMLOGIN;
archive/Network/XNetwork.cpp,2655,catch,#else	// ETC Login && #ifdef _XADMINISTRATORMODE,yes,MSG_NO_LOGIN,Network/XNetwork.cpp;Network/packet_for_login.h;XProcess/XProc_LoginServer.cpp,Login.ucMessage = MSG_NO_LOGIN;
archive/Network/XNetwork.cpp,3075,catch,#ifdef _XGMCLIENT,yes,MSG_ZONE_CHAT_NORMAL,Network/XNetwork.cpp;Network/XNetwork.h;Network/packet_for_zone_monster.h,MSG_ZONE_CHAT_NORMAL chatnormal;
archive/Network/XNetwork.cpp,6407,catch,,no,MSG_NO_GM_RESULT,Network/XNetwork.cpp;Network/packet_for_ctrl_gms.h,case MSG_NO_GM_RESULT :
archive/Network/XNetwork.cpp,6409,catch,,no,MSG_GM_RESULT,Network/XNetwork.cpp;Network/XNetwork.h;Network/packet_for_ctrl_gms.h,MSG_GM_RESULT* gmsetresult = (MSG_GM_RESULT*)pPacket;
archive/Network/XNetwork.cpp,9868,switch,,no,MSG_NO_GM_REQUEST,Network/XNetwork.cpp;Network/packet_for_ctrl_gms.h;reference-only/gm/XProcess/XWindow_GM_UserCoordination.cpp,case MSG_NO_GM_REQUEST		   :
