macro,overlay_occurrences,defined_in_merged_source,defined_by_us_release,definition_paths
_XKOREAN,4,no,no,
_XMANAGER,4,no,no,
_XPROC_MAINGAMEDEFINE_,1,yes,no,XProcess/XProc_MainGameDef.h
_XRUSSIAN,1,no,no,
_XTAIWANESE,7,no,no,
_XTESTSERVER,4,yes,no,XKernel/XKernel.h
_XTS_ALIANCE_20061018,3,yes,no,XKernel/XKernel.h
_XTS_BLOODPOINT,2,yes,no,XKernel/XKernel.h
_XTS_HAVEQUESTLISTNPC,1,yes,no,XKernel/XKernel.h
_XTS_ITEMMALLBROWSER,13,yes,no,XKernel/XKernel.h
_XTS_MOTIONBLURTEST,2,no,no,
_XTS_MOVEVILLAGE,5,yes,no,XKernel/XKernel.h
_XTS_NEWSKILLWINDOW,2,yes,no,XKernel/XKernel.h
_XTS_PK,7,yes,no,XKernel/XKernel.h
_XTS_PKZONE_SERVERSETTING,2,yes,no,XKernel/XKernel.h
_XTS_SKILLCOMATYPE,1,yes,no,XKernel/XKernel.h
_XUSEAPEXMODULE,1,no,no,
_XUSEFMOD,5,no,yes,
_XUSE_GAMEGUARD,11,yes,no,DataStructure/Notice/XNoticeProcess.cpp;EmperorOfDragons.cpp;Network/XNetwork.cpp;Network/packet_for_ctrl_gms.h;XKernel/XApplication/X3DApp.cpp;XKernel/XApplication/XKernel.cpp;XProcess/XProc_MainGame.cpp;XProcess/XProc_SelectCharacter.cpp;XProcess/XWindow_Login.cpp
_XVIETNAMESE,13,no,no,
_XWEBPAGE_EXPORTS,1,no,no,
