github_path,category,dependency_partition,size,sha256,archive_identical_elsewhere,archive_same_basename_elsewhere,included_by_count,included_by
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/bold.html,third-party/middleware,unclassified/non-code,236,3ade0e123ce4f13b1c9222d0eee1f904a16497bdaa80f99a8fd0256f7e5d6c66,,qhtm sdk/test/test files/misc/bold.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/break.html,third-party/middleware,unclassified/non-code,152,557c571a7e6333e5679c9003ce2c3aac6b88d3fc8d93f3ed4e5f9afc6eb35cc8,,qhtm sdk/test/test files/misc/break.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/center.html,third-party/middleware,unclassified/non-code,129,0d9c9bd877faee76f05bac5273dd7e5532bddbba95da383873810906693cb8a0,,qhtm sdk/test/test files/misc/center.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/comment-test-wordhtml.html,third-party/middleware,unclassified/non-code,1999,af6ac554cd1e62954782a64ac560c70b5f2e3e5b09200720c29fe7de0ba568b3,,qhtm sdk/test/test files/misc/comment-test-wordhtml.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/comment2.html,third-party/middleware,unclassified/non-code,18,3e9f31f78ebb1a04aae905a524ad882848c60fdc129d4762aab6be09c5a4b826,qhtm sdk/test/test files/misc/comment2.html,qhtm sdk/test/test files/misc/comment2.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/comments.html,third-party/middleware,unclassified/non-code,4523,ed5f3a2c487c0e0b81e86a693f5eded1f5ba4d14b53409b3fc3d70b4a6f43dee,,qhtm sdk/test/test files/misc/comments.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/control-edit.html,third-party/middleware,unclassified/non-code,269,b946373c8477fe76df0e4bd7a7afa4e0a89741b1ea0e11c4f7d9869228118160,,qhtm sdk/test/test files/misc/control-edit.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/dir.html,third-party/middleware,unclassified/non-code,55,4de9c8ed0876f5dc87c76f2d3b81eb257ace543cc8db2a5d07afab888fad1166,,qhtm sdk/test/test files/misc/dir.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/dl.html,third-party/middleware,unclassified/non-code,2043,8eb5e16ef93fed2f06e8049832041644d58c6c5072271b1368dd1380caf0a49a,,qhtm sdk/test/test files/misc/dl.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/font-background-color.html,third-party/middleware,unclassified/non-code,229,4d8175f85153a19def79d602b47fd6081fbd28a8bf23ad1447496238a666cf60,,qhtm sdk/test/test files/misc/font-background-color.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/font-plus-minus.html,third-party/middleware,unclassified/non-code,398,236abbc9012f4bbe263fafee89d191e2678cdc03c5cfb6e8b17ee92527663e8a,,qhtm sdk/test/test files/misc/font-plus-minus.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/fonts.html,third-party/middleware,unclassified/non-code,1247,6518793c64bff57e51eb77792d10602ea5ac159056bdff97c6244c9d17d62766,,qhtm sdk/test/test files/misc/fonts.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/frames1.html,third-party/middleware,unclassified/non-code,386,0ad50e8d6884e0adf39ed549f739b7ac3968bf17bdbf6cb0309dfef394d2c21a,,qhtm sdk/test/test files/misc/frames1.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/frames2.html,third-party/middleware,unclassified/non-code,277,1122ed76df56f34dabb0f5ffe880d4516039e79bd7d87f6fd544f20cd737ebe4,,qhtm sdk/test/test files/misc/frames2.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/frames3.html,third-party/middleware,unclassified/non-code,172,aaaf356b0dfe34f67f53b4b66503fb774114e39f0b3a3a23e9be3029e960172d,,qhtm sdk/test/test files/misc/frames3.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/frames4.html,third-party/middleware,unclassified/non-code,255,32202978f4ef8a5d6a525cbaa08faa6220e13848704f5486b6d8496b19bc3229,,qhtm sdk/test/test files/misc/frames4.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/headings.html,third-party/middleware,unclassified/non-code,621,2883669c59552e8ec96a4ba52d1ebfe9274053894ee6c36a5e21db4822d7efb9,,qhtm sdk/test/test files/misc/headings.html,0,
Library/QHTM_FullSource1967/components/qhtm/test/test files/misc/hr.html,third-party/middleware,unclassified/non-code,787,bd33dda4209bb15d57ca3ebea49cc0381d9af0ef408021a19720e1cd7e305595,,qhtm sdk/test/test files/misc/hr.html,0,
