archive_path,github_path,category,status,archive_size,github_size,archive_added_lines_vs_github,archive_removed_lines_vs_github,line_similarity,archive_mtime,archive_sha256,github_sha256
Script/XFunctionalObjectTriggerItem.h,Script/XFunctionalObjectTriggerItem.h,normal/shared source,text-identical (encoding/EOL differs),1892,1831,,,,1341402556,a31df0bfbef9f9c1ef3f6a7c37cccd5ed61770d24bf65a99a0233b10e5925a52,ed8e6b0a2753b18f03c32816f56e2aa1647f74d7640b6b06eaca4243b471a869
Script/XNPCScript.cpp,Script/XNPCScript.cpp,normal/shared source,content-different,32683,31418,8,8,0.993506,1384270869,bfcc13a0b81e8b02ed7c55908a3af10c92560b1a0e45edb2fce526f1a0be0fe6,41170ab342e09959ac9e0cc424ad042408ad0313710fbdb48754ec6d5aa9f6fc
Script/XNPCScript.h,Script/XNPCScript.h,normal/shared source,text-identical (encoding/EOL differs),4878,4726,,,,1341402556,89b122aaf184a15764ed042f73fc4919137cb8b1e21656568e5b17631317700b,7e405e8e539cf744f22a657d3dec5d4fd726783fb19fae6e739561046a6bc723
Script/XNPCScriptConditionItem.cpp,Script/XNPCScriptConditionItem.cpp,normal/shared source,text-identical (encoding/EOL differs),14600,14049,,,,1341402556,b3a45f1738949d9eaa1e73a18bb6c7bef74944f2f2731ae382f728906d86c4cc,18599c8c2535d52da952afc2898e37d510557d1e9a96b9b77239b7fe112c9d64
Script/XNPCScriptConditionItem.h,Script/XNPCScriptConditionItem.h,normal/shared source,text-identical (encoding/EOL differs),2290,2212,,,,1341402556,585af272938c279389056121be0414bcc526fa620dd3055a26b0c28d121ea6ae,6bda2b476a1aeeba820c1aea2f93419c0ea8d9964a1e90aecbe60b0078f169dc
Script/XQuestScriptBaseType.h,Script/XQuestScriptBaseType.h,normal/shared source,text-identical (encoding/EOL differs),4886,4707,,,,1341402556,0c77026ea6169913fc6de806e1f2365ff329bf3a2e7b213da446babc6f130317,b70421d2fb7d7875e7b161f5342728cbc0e8c2e99f233fd9f3ad5064230071c0
Script/XQuestScriptDefine.h,Script/XQuestScriptDefine.h,normal/shared source,content-different,32857,32615,2,8,0.992,1341402556,6681e25273814f44764929e1f8ecffd065864538a6357c9db715faf3483119f2,066b7715a7a12a4f961b0da5bef21719fea77b5b6f4d3c148c96547e8e67895e
Script/XQuestScriptItem.cpp,Script/XQuestScriptItem.cpp,normal/shared source,content-different,97128,93973,27,27,0.991217,1384270869,39f08999b9453a2bfd722c5b5a10dfd1f3ef2704581b89634039be9b581a8041,a9ea2263d74f1f0ccfc1fd6c8fec38a1a53ca3ed68de9319c83129c12e996cc0
Script/XQuestScriptItem.h,Script/XQuestScriptItem.h,normal/shared source,text-identical (encoding/EOL differs),8634,8349,,,,1341402556,f9f5a3462a402a9b4e6afb0e807369ee516cfc6abc4bcb5e29c109af291031c5,e6ca6313d78ffc9a14107c6f5d3feca1f2d30ba25449dedcb74262f57420d410
Script/XQuestScriptItemGroup.cpp,Script/XQuestScriptItemGroup.cpp,normal/shared source,text-identical (encoding/EOL differs),645,622,,,,1341402556,10a3ef7fc72ad7b2703be4bc1c44470356c817f147034d59f430983619ce301b,046e1461320bd4c34aca833c68638145b77be34318cf553f9f2a99c62007b620
Script/XQuestScriptItemGroup.h,Script/XQuestScriptItemGroup.h,normal/shared source,text-identical (encoding/EOL differs),785,757,,,,1341402556,a671da63af68c76957d43c9251be2c8135ee5cb4795cf72d70f88e3ec85df250,f2af7ca83dcfb9b3907f9e416d6e32ae332373fe15dfef78bca7ca308ffca470
Script/XQuestScriptManager.cpp,Script/XQuestScriptManager.cpp,normal/shared source,content-different,200004,195640,73,73,0.987511,1384270869,f8ab49466fff95e10d17a53cd13febb6044498f7c71efcb114cd979e08529950,7bd16f9239c7b9010d5a5857302912c58bb485fcc867a3f0d94b1ae992507836
